Account Name,Type,Phone,AnnualRevenue,Site
Maxwell Howard,Prospect,600493632,7000,www.google.com
Bertie Andrews,Prospect,114520906,80000,www.google.com
Emmanuel Bailey,Prospect,462702460,30000,www.google.com
Zack Pearce,Installation Partner,540062981,70000,www.google.com
Rhys Walker,Other,222324878,20000,www.youtube.com
Jensen Harris,Other,702745626,6000,www.youtube.com
Aston Murray,Installation Partner,162716181,60000,www.youtube.com
Miles Morris,Other,928341744,40000,www.youtube.com
Owen Anderson,Other,427551061,70000,www.youtube.com
Aleksander James,Other,407429230,50000,www.youtube.com
